date,heure_ecoute,duree,plateforme,titre_morceau,genre
2024-03-25,09:08,4,Apple Music,Nebula Remix,Rock
2024-02-08,13:40,7,Apple Music,Twilight II,Pop
2024-01-28,09:56,8,Apple Music,Waves Remix,Jazz
2024-02-13,15:05,3,Deezer,Pulse Live,Électro
2024-01-04,19:21,2,Deezer,Skyline Session,Pop
2024-03-28,10:33,3,Spotify,Solstice II,Classique
2024-03-01,08:29,7,Apple Music,Echoes I,Classique
2024-03-13,08:07,3,Spotify,Horizons Live,Reggae
2024-02-13,06:54,3,Deezer,Motion I,Pop
2024-03-01,03:44,10,Spotify,Fusion Session,Classique
2024-01-17,08:58,5,Apple Music,Signals Session,Classique
2024-01-07,21:07,4,Deezer,Midnight Live,Pop
2024-03-08,02:14,3,Spotify,Horizons Mix,Classique
2024-03-01,22:25,6,Deezer,Skyline Remix,Jazz
2024-02-11,12:39,9,Deezer,Solstice I,Classique
2024-01-23,15:56,5,Apple Music,Echoes Remix,Reggae
2024-03-01,22:54,8,Apple Music,Twilight I,Électro
2024-01-21,00:16,8,Deezer,Drift Live,Rock
2024-01-23,01:04,3,Spotify,Echoes I,Pop
2024-02-09,17:23,9,Deezer,Skyline Remix,Pop
2024-02-28,07:29,9,Spotify,Galaxy Mix,Jazz
2024-02-18,22:57,9,Deezer,Moonrise Session,Reggae
2024-03-12,10:39,8,Spotify,Dream I,Rock
2024-03-27,23:27,8,Deezer,Motion Live,Pop
2024-03-30,18:50,6,Apple Music,Firelight Remix,Électro
2024-02-25,09:39,8,Apple Music,Voyage Session,Électro
2024-02-18,17:52,2,Spotify,Dream Mix,Électro
2024-02-15,13:41,10,Spotify,Fusion Remix,Hip-Hop
2024-01-21,02:36,5,Apple Music,Moonrise II,Reggae
2024-03-15,22:09,6,Deezer,Breeze Live,Rock
2024-01-22,07:47,9,Spotify,Dream Remix,Hip-Hop
2024-02-24,02:02,6,Deezer,Skyline Live,Jazz
2024-01-11,20:10,2,Apple Music,Spectrum I,Reggae
2024-01-23,20:17,3,Spotify,Moonrise I,Pop
2024-03-03,06:28,6,Apple Music,Mirage Live,Pop
2024-02-01,10:21,9,Spotify,Fusion I,Pop
2024-01-22,19:11,3,Spotify,Echoes Live,Électro
2024-02-03,13:16,6,Apple Music,Firelight Mix,Pop
2024-02-19,16:52,2,Apple Music,Voyage Live,Électro
2024-03-11,04:00,10,Spotify,Rainfall I,Jazz
2024-02-05,01:12,5,Spotify,Galaxy Mix,Jazz
2024-01-24,06:38,4,Apple Music,Reflections Live,Hip-Hop
2024-03-13,03:27,10,Deezer,Fusion Session,Jazz
2024-02-19,07:41,3,Deezer,Fusion Session,Classique
2024-03-19,02:26,6,Apple Music,Twilight Mix,Rock
2024-01-28,08:37,4,Spotify,Horizons Remix,Reggae
